## This file was generated by SeaState called from Python on Sep-17-2025 at 16:35:26
## This file contains outputs from calls to SeaState routines (not the CalcOutput) at the 20 points specified in the file Points.Results.dat
# 
# 
# 
# 
          T             x             y             z            V_x           V_y           V_z           A_x           A_Y           A_Z       nodeInWater      elev          norm_x        norm_y        norm_z
         (s)           (m)           (m)           (m)          (m/s)         (m/s)         (m/s)         (m/s)         (m/s)         (m/s)          (-)          (m)           (m/s)         (m/s)         (m/s) 
       31.385         0.000        50.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000        50.000      -190.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000       100.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.359         0.061        -0.000         0.998
       31.385         0.000       100.000        -1.000         0.240         0.000         0.797         0.576         0.000        -0.373             1         0.359         0.061        -0.000         0.998
       31.385         0.000       100.000       -10.000         0.037         0.000         0.497         0.386         0.000         0.014             1         0.359         0.061        -0.000         0.998
       31.385         0.000       100.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000       100.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000       100.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385        50.000       100.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000        -1.000        -0.457         0.000        -0.889        -0.811         0.000         0.453             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000       -10.000        -0.182         0.000        -0.406        -0.399         0.000         0.215             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       -50.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000        -1.000        -0.457         0.000        -0.889        -0.811         0.000         0.453             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000       -10.000        -0.182         0.000        -0.406        -0.399         0.000         0.215             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000         0.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000        -1.000        -0.457         0.000        -0.889        -0.811         0.000         0.453             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000       -10.000        -0.182         0.000        -0.406        -0.399         0.000         0.215             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000        50.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000        -1.000        -0.457         0.000        -0.889        -0.811         0.000         0.453             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000       -10.000        -0.182         0.000        -0.406        -0.399         0.000         0.215             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000       -50.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000      -100.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000      -150.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       31.385        50.000       100.000      -190.000        -0.000         0.000        -0.082        -0.095         0.000         0.042             1        -0.411        -0.000        -0.000         1.000
       32.769       -50.000       -50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         1.996        -0.000        -0.000         1.000
       32.769       -50.000       -50.000        -1.000         1.724         0.000        -1.797        -1.230         0.000        -1.505             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       -50.000       -10.000         0.848         0.000        -1.190        -0.775         0.000        -0.798             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       -50.000       -50.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       -50.000      -100.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       -50.000      -150.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       -50.000      -190.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000         1.000         1.861         0.000        -1.901        -1.321         0.000        -1.602             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000        -1.000         1.724         0.000        -1.797        -1.230         0.000        -1.505             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000       -10.000         0.848         0.000        -1.190        -0.775         0.000        -0.798             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000       -50.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000      -100.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000      -150.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000         0.000      -190.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000         1.000         1.861         0.000        -1.901        -1.321         0.000        -1.602             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000        -1.000         1.724         0.000        -1.797        -1.230         0.000        -1.505             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000       -10.000         0.848         0.000        -1.190        -0.775         0.000        -0.798             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000       -50.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000      -100.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000      -150.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000        50.000      -190.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       100.000         1.000         1.861         0.000        -1.901        -1.321         0.000        -1.602             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       100.000        -1.000         1.724         0.000        -1.797        -1.230         0.000        -1.505             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       100.000       -10.000         0.848         0.000        -1.190        -0.775         0.000        -0.798             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       100.000       -50.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
       32.769       -50.000       100.000      -100.000         0.201         0.000        -0.622        -0.404         0.000        -0.226             1         1.996        -0.000        -0.000         1.000
