
These predictions were generated by SeaState on 29-Aug-2025 at 12:34:22.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    9.4000  -0.3108137E+00  -0.1042072E+01   0.3336736E+00  -0.6029755E-01  -0.1149932E+00  -0.1732377E+01  -0.2744916E+01  -0.3715453E+00  -0.1272037E+01  -0.1188813E+01   0.1984784E+00   0.3151709E+00   0.3677655E+00  -0.2804880E+01   0.3366842E+00  -0.2585525E+04  -0.9598562E+04   0.3025064E+04  -0.4486805E+03  -0.1070672E+04
    9.6000  -0.2923206E+00  -0.8279738E+00   0.3043818E+00  -0.3207172E+00  -0.3811104E-01  -0.1626603E+01  -0.2534646E+01  -0.3582609E+00  -0.1707552E+01  -0.1104168E+01   0.1113837E+01   0.1433381E+01  -0.2994178E-01  -0.2534028E+01   0.4702086E+00  -0.2469054E+04  -0.7465413E+04   0.2690522E+04  -0.2840134E+04  -0.3216221E+03
    9.8000  -0.2309840E+00  -0.5274563E+00   0.2368769E+00  -0.5403091E+00   0.4411401E-01  -0.1408857E+01  -0.2155295E+01  -0.4159673E+00  -0.2073698E+01  -0.1005939E+01   0.1876995E+01   0.2615088E+01  -0.4916215E+00  -0.2012212E+01   0.6035522E+00  -0.2011615E+04  -0.4566522E+04   0.2010030E+04  -0.4853163E+04   0.4693364E+03
   10.0000  -0.1423049E+00  -0.1557542E+00   0.1318188E+00  -0.6989749E+00   0.1274937E+00  -0.1113676E+01  -0.1619382E+01  -0.5492458E+00  -0.2333297E+01  -0.8989593E+00   0.2333328E+01   0.3682823E+01  -0.9702435E+00  -0.1276005E+01   0.7009336E+00  -0.1346641E+04  -0.1058432E+04   0.9969120E+03  -0.6306994E+04   0.1261021E+04
   10.2000  -0.4770331E-01   0.2619795E+00  -0.5513143E-02  -0.7823946E+00   0.2071378E+00  -0.7925788E+00  -0.9633231E+00  -0.7537546E+00  -0.2458453E+01  -0.7913457E+00   0.2375060E+01   0.4450456E+01  -0.1407043E+01  -0.3878765E+00   0.7275190E+00  -0.6527238E+03   0.2820339E+04  -0.2942113E+03  -0.7074966E+04   0.2008636E+04
   10.4000   0.2896456E-01   0.6923245E+00  -0.1651931E+00  -0.7837344E+00   0.2778894E+00  -0.5057703E+00  -0.2454453E+00  -0.1015325E+01  -0.2434185E+01  -0.6936563E+00   0.1964743E+01   0.4758823E+01  -0.1738237E+01   0.5670478E+00   0.6591978E+00  -0.1245917E+03   0.6765603E+04  -0.1768411E+04  -0.7099296E+04   0.2667703E+04
   10.6000   0.6560291E-01   0.1096780E+01  -0.3332692E+00  -0.7046485E+00   0.3349701E+00  -0.3116730E+00   0.4602339E+00  -0.1310409E+01  -0.2260980E+01  -0.6171713E+00   0.1146506E+01   0.4508770E+01  -0.1904208E+01   0.1487914E+01   0.4905071E+00   0.6113254E+02   0.1043575E+05  -0.3297041E+04  -0.6399167E+04   0.3199195E+04
   10.8000   0.4605070E-01   0.1436123E+01  -0.4930441E+00  -0.5553946E+00   0.3747195E+00  -0.2561280E+00   0.1073692E+01  -0.1608058E+01  -0.1955788E+01  -0.5716235E+00   0.4235759E-01   0.3684580E+01  -0.1859879E+01   0.2268568E+01   0.2385710E+00  -0.2205146E+03   0.1348882E+05  -0.4729854E+04  -0.5070676E+04   0.3575006E+04
   11.0000  -0.3653397E-01   0.1675329E+01  -0.6269138E+00  -0.3539701E+00   0.3952736E+00  -0.3632801E+00   0.1520493E+01  -0.1873348E+01  -0.1551114E+01  -0.5628812E+00  -0.1166372E+01   0.2362668E+01  -0.1584442E+01   0.2810547E+01  -0.5821937E-01  -0.1016158E+04   0.1562346E+05  -0.5911556E+04  -0.3278066E+04   0.3782606E+04
   11.2000  -0.1777444E+00   0.1788277E+01  -0.7185583E+00  -0.1242922E+00   0.3970059E+00  -0.6299211E+00   0.1743288E+01  -0.2071890E+01  -0.1092099E+01  -0.5911534E+00  -0.2269512E+01   0.7031759E+00  -0.1088434E+01   0.3037019E+01  -0.3468408E+00  -0.2279506E+04   0.1661753E+05  -0.6700899E+04  -0.1236664E+04   0.3827664E+04
